Date,Open,High,Low,Close,Volume
1/1/2020 15:30:00,751.87,756.38,745.68,747.71,6402372
1/2/2020 15:30:00,748.9,763.24,748.9,760.44,8096561
1/3/2020 15:30:00,759.3,763.59,754.35,761.36,9593498
1/6/2020 15:30:00,752.86,756.78,741.97,743.7,11209343
1/7/2020 15:30:00,752.37,760.05,749.64,755.14,7627191
1/8/2020 15:30:00,750.39,760.02,747.91,749.47,7336561
1/9/2020 15:30:00,762.08,767.72,758.44,766.73,6849606
1/10/2020 15:30:00,768.66,771.66,762.6,766.56,5704686
1/13/2020 15:30:00,765.27,772.03,761.98,764.6,8358090
1/14/2020 15:30:00,762.77,767.72,753.78,757.52,7230788
1/15/2020 15:30:00,760.71,762.72,752,754.77,7231393
1/16/2020 15:30:00,757.32,764.43,756.83,761.73,5873662
1/17/2020 15:30:00,769.46,785.03,769.31,783.08,13469708
1/20/2020 15:30:00,796.95,796.95,756.03,758.98,14878868
1/21/2020 15:30:00,757.12,765.67,753.85,759.75,8650831
1/22/2020 15:30:00,764.75,766.11,758.36,759.48,4719245
1/23/2020 15:30:00,761.04,763.74,753.21,756.26,5142088
1/24/2020 15:30:00,756.33,760.96,752.15,753.63,6687633
1/27/2020 15:30:00,750.34,755.07,745.43,746.2,6120429
1/28/2020 15:30:00,747.22,747.91,724.93,728.96,11215313
1/29/2020 15:30:00,730.1,740.18,725.15,732.98,11313297
1/30/2020 15:30:00,732.56,732.9,713.24,715.1,10241756
1/31/2020 15:30:00,719.68,719.8,696.99,699.2,15886673
2/1/2020 17:00:00,696.05,706.78,681.27,681.54,10688430
2/3/2020 15:30:00,678.52,693.4,675.13,686.24,14040626
2/4/2020 15:30:00,693.43,709.52,692.34,706.5,11604666
2/5/2020 15:30:00,710.71,719.58,708.43,717.45,8444823
2/6/2020 15:30:00,720.22,726.61,713.29,722.06,7103715
2/7/2020 15:30:00,718.69,719.36,707.44,710.09,5581641
2/10/2020 15:30:00,707.3,715.96,698.6,711.06,6922631
2/11/2020 15:30:00,716.9,726.22,715.74,719.55,6400245
2/12/2020 15:30:00,721.24,730.5,720.67,728.25,6187091
